user_idx,user_id,wide_deep_mae,wide_deep_mse,wide_deep_rmse,matrix_fact_mae,matrix_fact_mse,matrix_fact_rmse,knn_precision,knn_recall,matrix_fact_precision,matrix_fact_recall,wide_deep_precision,wide_deep_recall
0001,AHZGQXTGR3WB6CQR3PP2TB2YPTUA_1,0.619580235974542,0.5381248562467856,0.7335699395741252,0.8860655758166914,1.1241402027723428,1.0602547820087127,,,,,,
0002,AHZGQXTGR3WB6CQR3PP2TB2YPTUA,0.6491853368693384,0.606220513291256,0.7786016396664318,0.765801590429907,0.9029728791991675,0.950248851195921,,,,,,
0003,AHZ4TADPCXAAIKTFERGG5YB4BNQQ,0.6451752483844757,0.7258699659926791,0.8519800267568948,0.6022108320783203,0.6825670859470963,0.8261761833574581,,,,,,
0004,AHYOSWORVZFXM5QMRIAW3JTTFFIQ,0.746959024005466,0.8824479976355014,0.939387032929187,0.749239868838553,0.8464104977143209,0.920005705261832,,,,,,
0005,AHYBURPPFSJHXFTYTCDQIGQWYBNQ,0.4661336033432572,0.3168283759472956,0.5628750979989217,0.6298565518774074,0.5877112898474555,0.7666233037466677,,,,,,
0006,AHY2TURQPNIDXZGH2CMQLZ343YMQ,1.318806736557572,2.2942953066997527,1.5146931394509426,1.1874660405096886,2.396763015700139,1.5481482537858378,,,,,,
0007,AHXUMOATDZGPUDHB4PYF5FSFJBEQ,0.45018959045410156,0.33466310201905297,0.5785007364032072,0.5849668801257152,0.5035534379137864,0.7096149927346422,,,,,,
0008,AHXNCEINHHLAW5HEL6QUU2BCNE2A,0.6201765707560948,0.7175729285885138,0.8470967645957065,0.8381827602741049,1.3591982038362644,1.1658465610174713,,,,,,
0009,AHX42Y3TATT7ODX5TNIFTS3VKAHQ,0.777675986289978,0.8272469244169565,0.9095311563750614,0.7938925645009516,0.9163651348001771,0.9572696249229771,,,,,,
0010,AHX2B4DEER2QR3IU3CCNB3CWC6TA,0.520409886042277,0.4745333914999151,0.6888638410454675,0.6063253488721791,0.6749217643775746,0.8215362221944779,,,,,,
0011,AHWMAINY2QSKJBVYDTNANQQBP2NQ,1.2437465108674148,1.9190887174967006,1.3853117762787917,1.2381403886233429,2.1282114380814696,1.4588390720300404,,,,,,
0012,AHWCZ47A7FIYEJ7KEJG3BO3F5YXQ,0.6277885675430298,0.5431524218947952,0.7369887528957244,0.6778465340064594,0.6529610235887874,0.8080600371190172,,,,,,
